Date;AHCSFin;BRESFin;COMBFin;DBISFin;DICOFin;DOBKFin;ERESFin;GISSFin;GWCSFin;IGRDFin;IHGSFin;IQCDFin;KINSFin;MCCSFin;MERSFin;MPHCFin;MRDSFin;NLCSFin;ORDSFin;QAMCFin;QANCFin;QEASFin;QEWCFin;QFBQFin;QFLSFin;QGIRFin;QGTSFin;QIGDFin;QIIBFin;QIICFin;QIMCFin;QINSFin;QNBKFin;QNNCFin;QOISFin;SALMFin;UDCDFin;VFQSFin;WDAMFin;ZHCDFin;;;;
22/01/2019;-0.009917437;-0.012829827;0.020216792;0.00;0.013642776;-0.031221774;-0.019110961;0.00162734;0.00;0.010485024;-0.010291686;-0.025863511;-0.014388737;0.00;-0.002789402;-0.003848626;-0.010865735;-0.012987196;-0.011363759;0.000768344;0.007670337;-0.013549158;-0.017160438;-0.009339148;0.008157207;0.00;-0.016360283;-0.003577821;-0.010286645;0.00;-0.013902905;-0.005930105;-0.015230594;-0.007474674;0.006886402;-0.017241806;0.00;-0.009528923;-0.005755412;0.00;;;;
23/01/2019;0.003316753;-0.010093813;0.014388737;-0.00939268;0.005405419;0.001427552;0.007952328;-0.024692613;-0.018349139;0.03333642;0.01539808;0.008695707;0.032088315;-0.003804697;0.00;0.00;-0.002187387;0.01169604;-0.001906578;-0.013142825;0.007732309;0.000838482;-0.022315518;0.00;0.006814451;-0.00255428;-0.009946207;-0.007194276;0.001476015;-0.007662873;0.007472015;0.005930105;-0.003114845;0.006410278;-0.014815086;0.010380716;-0.0026643;0.004246291;-0.016000341;0.00;;;;
24/01/2019;-0.013333531;-0.00581397;0.056213145;-0.014256538;0.03339828;0.008239853;-0.009283886;-0.01342302;0.00;0.002518893;-0.01539808;0.00;-0.014134511;0.001269841;-0.002797205;0.002567396;0.001458789;-0.001939865;-0.017324784;-0.010954726;0.001082577;-0.002627761;-0.017857617;0.005398609;0.004294156;0.0474496;0.007882223;0.001803427;0.00294551;0.04143719;-0.020050797;0.013292313;0.011061015;-0.006410278;0.00;0.006006024;-0.006244445;0.001058761;0.007304634;0.00;;;;
25/01/2019;0.00401876;0.008708328;-0.031686466;0.013941924;-0.03339828;0.010975205;0.007301725;-0.001690617;0.027398974;0.001257071;0.00;-0.041543756;0.002132955;0.047096684;-0.002243411;0.00;-0.003650972;0.00;0.014458083;-0.015860761;0.014086421;0.00216737;0.026668247;-0.010463743;-0.011108607;-0.0474496;-0.006217637;0.00;0.00;-0.003696862;0.00;0.00;-0.018890842;0.007474674;-0.004987542;-0.00686698;0.010681009;-0.019231362;-0.010241494;0.026850237;;;;
26/01/2019;0.002670229;0.017192401;-0.002991526;-0.025172589;0.00;-0.010975205;0.004618946;-0.018787914;-0.003610112;0.046634217;-0.017391743;-0.002711253;-0.031015829;-0.001211387;-0.011861195;0.00128123;0.006562182;0.012861914;0.009523882;-0.020186394;0.00224972;0.000845033;0.019544596;-0.003997825;0.001826237;0.00;0.006217637;-0.009049836;0.00293686;-0.018692133;-0.038714512;-0.018909429;-0.002052686;-0.009620598;0.009950331;0.013687126;-0.001772265;-0.002159828;-0.00294551;0.01827462;;;;
27/01/2019;0.00;0.015504187;-0.016446083;0.025172589;-0.002699057;0.010975205;0.00131579;-0.017391743;0.005410293;-0.006013247;0.00;0.00451468;0.018149319;0.029852963;0.002270149;-0.005778507;0.003627135;-0.003200003;-0.006657181;-0.013136478;0.002126655;0.000854611;-0.010810916;-0.010616977;-0.008074136;2.347592689;0.00;0.009049836;0.00292826;0.00;-0.026668247;0.00686109;-0.006872879;0.009620598;0.00;0.016013827;0.00;-0.005420067;0.00294551;-0.027538711;;;;
28/01/2019;-0.001334223;0.079289331;-0.044990286;-0.052652238;-0.002706362;0.026513566;-0.000657678;-0.043017385;-0.018149319;0.013181737;0.034486176;0.01342302;0.005023333;-0.011834458;-0.00796817;-0.008406128;-0.01900642;0.006389798;0.001906578;0.02449102;-0.007582076;0.005614004;0.00;-0.006276557;-0.003138649;-2.347592689;-0.004140793;-0.009049836;0.00;0.001885015;0.0613239;-0.00139958;0.013018341;-0.005333346;0.023484445;-0.003350087;-0.030162088;-0.001087548;0.014598799;-0.023467186;;;;
29/01/2019;-0.006026131;-0.00778214;0.002474811;0.021654389;-0.034742948;0.002721831;-0.006600684;0.00;0.009115833;-0.025317808;-0.034486176;0.008849615;-0.001432665;0.005934736;-0.005730675;-0.0058613;0.003683245;0.009508788;-0.000952835;-0.015441184;0.005455421;-0.002602949;-0.021978907;0.007380107;-0.004383268;-0.028536307;0.004140793;-0.003642991;-0.00881063;0.01495355;-0.061053667;-0.017741261;0.00;0.00639661;-0.033434776;0.002513617;-0.017520042;0.008667443;0.014388737;0.012922794;;;;
30/01/2019;-0.019668318;0.002600782;-0.025752496;-0.024311316;0.021100172;0.002714442;0.000662032;-0.011049836;0.007233305;-0.01972937;0.015666117;0.010517187;-0.046212843;0.00;0.005730675;-0.001961426;0.005865119;0.006289329;0.029123712;0.004901971;0.004248797;0.003203194;-0.012522525;-0.008491836;-0.005092221;0.067412676;-0.003311261;0.003642991;0.00147384;0.00;0.002698329;0.016339719;0.006107925;0.019990145;0.019802627;0.004175371;-0.023530497;-0.018508966;-0.049790665;0.010544391;;;;
31/01/2019;0.017651511;0.007762005;0.002171554;0.005637554;-0.002751033;-0.006799972;0.00528054;0.023788862;-0.018182319;0.018507623;-0.010416761;0.007815932;0.042622175;0.012933749;0.004561011;-0.003934431;-0.008073438;-0.006289329;-0.01492565;-0.003265309;-0.004248797;0.000190911;0.003593894;-0.001112966;0.003787231;0.087113873;0.001243008;-0.018349139;0.00;0.003703708;0.021064637;0.002801122;0.00472495;0.00;-0.000980873;-0.000833681;0.013715041;0.009841523;0.00;-0.008158467;;;;
01/02/2019;0.006038261;0.017880425;-0.017873903;-0.012980711;0.004946424;0.00;-0.000658545;-0.005439723;0.046603415;-0.028520222;0.012142387;0.020548668;-0.007220248;-0.012933749;0.011312338;0.002624673;-0.009626139;-0.022329476;0.031454952;-0.004096687;0.004248797;0.005164614;-0.013544225;-0.013829411;0.000687049;-0.030912593;0.008247469;0.009216655;0.00;-0.009285118;0.007884404;-0.00139958;0.018018506;-0.0104713;-0.018821754;-0.010901575;-0.013238964;-0.006550242;-0.015128882;0.042429281;;;;
02/02/2019;0.003338901;0.020050797;-0.005906256;0.00;0.000548095;0.006799972;0.004600731;0.021583572;-0.008795131;-0.019048195;-0.001725626;0.00;-0.014598799;0.00;-0.004509591;0.005880448;0.009626139;-0.003878479;0.019838342;-0.003289477;0.006339538;0.00762153;0.011748892;0.006377812;-0.00447428;0.094252538;0.002051283;0.021779445;0.002941179;-0.001867414;0.032958699;-0.030173682;0.005277057;0.004201687;0.019802627;0.002526317;0.028157656;0.003280484;0.006079046;-0.042429281;;;;
03/02/2019;0.00;0.012330612;0.000370165;0.024815169;-0.024966623;0.007830471;0.009788006;0.014134511;0.001765226;-0.039220713;-0.015666117;0.014303988;0.014598799;0.00;-0.01939593;0.005846071;0.027618034;-0.007149852;0.029905483;-0.011599136;0.00432067;0.008538726;0.028345565;0.034910766;-0.019154338;-0.048790164;0.003681739;0.001793722;0.011678965;-0.003745323;-0.064335907;0.011005773;0.0104713;0.00313972;-0.009852296;-0.003369843;0.012416807;-0.00767127;0.003025721;-0.001192251;;;;
04/02/2019;0.023065273;-0.003683245;0.042744645;-0.024815169;0.008391658;0.001075269;0.012903405;0.019114396;-0.005305052;0.013245227;0.00873368;-0.018550279;0.007220248;-0.017910927;0.002301497;0.003878479;0.00286328;0.017459221;0.00259628;0.00415801;0.00;0.000710503;0.013015368;-0.001084011;0.00;-0.033901552;-0.007788521;-0.010810916;-0.008746411;0.02226437;0.012882626;0.011042863;0.002600782;-0.014737109;0.000989609;-0.00168919;-0.003663008;0.004390786;0.012012156;0.043621532;;;;
05/02/2019;-0.003262646;0.01343942;-0.003552402;0.017928767;-0.002789402;-0.001075269;0.006389798;0.008569033;0.012334958;-0.02396919;0.059088916;0.016878038;-0.007220248;0.017910927;0.052068856;0.005148017;-0.004298001;-0.025975486;-0.013925377;0.003314005;0.002095217;0.004219247;-0.004319661;-0.010539803;0.01604499;0.00;0.006153866;0.010810916;0.002923979;0.00;0.025537784;0.006723503;0.009693129;-0.019272545;0.023461487;-0.000845666;0.00;0.008724156;0.011869576;-0.043621532;;;;
06/02/2019;-0.003929278;0.010863112;0.005323881;-0.00560965;0.002789402;0.001075269;0.023915551;-0.001707942;0.001749782;-0.010840215;-0.008230499;0.016597891;-0.003629768;-0.015504187;-0.001638002;-0.003214403;0.007153106;0.003939598;-0.004391751;-0.002484473;-0.006415887;0.004836176;0.00;0.00109549;0.003799003;0.019351771;-0.052477937;0.003577821;0.002915454;-0.005519793;-0.025537784;-0.012229691;0.007049052;-0.007596347;-0.00678626;0.009263224;-0.000458821;-0.002173914;-0.028423753;0.00;;;;
07/02/2019;0.003929278;-0.008438869;-0.026907453;0.00;0.002781643;0.004021992;-0.008117435;0.021978907;-0.01231326;-0.001363327;-0.008298803;-0.004123717;-0.005103912;0.009569451;-0.00273598;0.00;-0.015081076;0.005880448;-0.038587111;0.000828844;0.008506723;-0.001345817;0.00;0.00;0.003097576;-0.030912593;-0.004319661;0.060624622;0.014451119;0.014652277;0.044335814;-0.012381111;-0.007049052;0.003262646;0.0297099;-0.000838574;-0.000459031;0.008667443;-0.021473218;0.00;;;;
08/02/2019;0.001306336;-0.025752496;0.059982705;-0.001987414;0.00;0.001337077;-0.005028295;-0.006711435;0.005295688;-0.001365188;0.032789823;-0.008298803;-0.03193736;0.010657294;0.002189382;-0.000644122;0.002890175;0.041473248;0.02350922;0.003308522;-0.003137896;0.000608653;-0.000432994;-0.002192182;-0.000618748;0.094252538;0.023530497;0.094545946;0.001433692;-0.016498999;0.04489532;0.008271083;-0.029365895;-0.045538129;-0.024857876;-0.083053387;-0.003679857;-0.003241494;0.022989518;0.00;;;;
09/02/2019;0.004558784;-0.001243008;0.013605652;0.026502451;0.00;0.006393202;0.001888575;-0.020408872;-0.008841791;-0.023497971;0.012820688;-0.004175371;-0.019048195;-0.005906692;0.000546597;0.015979886;-0.001444044;0.01242252;-0.02350922;0.006584386;-0.002097414;-0.000102519;-0.003905407;0.007288662;0.012574484;-0.070127302;-0.018349139;0.018182319;0.017045867;0.00;-0.070736551;-0.001426647;0.013158085;-0.005698021;-0.000968523;-0.009157573;0.00;0.003241494;-0.003034904;0.009350717;;;;
10/02/2019;-0.005211738;-0.00874459;0.029952322;0.00675787;-0.002781643;-0.003990959;-0.043708757;0.0102565;-0.012511334;-0.007017573;-0.027443207;-0.035778944;0.00;0.0035482;-0.005479466;-0.008917257;-0.02561428;0.032789823;-0.030657301;0.00;-0.044483575;-0.019219931;-0.021978907;0.015493014;0.003728186;-0.07909726;0.011135019;-0.104360015;-0.021353124;-0.001850139;-0.005249356;-0.012450281;-0.015146816;-0.003434462;0.000968523;0.007332755;0.004597709;0.002155173;-0.012232568;0.040957899;;;;
11/02/2019;-0.000653381;-0.003771218;-0.004930166;0.033431054;0.00;0.015344216;0.014351192;-0.013698844;-0.005410293;-0.014184635;0.01944956;0.000866927;-0.031252544;-0.002364067;-0.000549602;0.004468568;0.0022214;0.009512557;0.012189556;-0.001642036;-0.012270093;0.006847432;0.021978907;-0.007176206;-0.009380804;-0.042666446;0.002976826;-0.028742469;0.00;-0.013047715;0.025975486;-0.008387146;-0.005990035;0.007995474;0.015370139;0.003646312;0.001833181;-0.005396667;0.015267472;-0.001135074;;;;
